date,event-name,location-name,location-address,lat,long
07/03/2024,Nats Fireworks,Nationals Park,1500 South Capitol St SE,38.87262613091461,-77.00742052712249
07/04/2024,July 4th Parade,Constitution Ave,7th St & Constitution Ave NW,38.89222262774588,-77.02171584221017
07/04/2024,Capitol Concert,US Capitol,US Capitol,38.889896769855554,-77.00851658798335
07/04/2024,4th at the Wharf,The Wharf,760 Maine Ave SW,38.87932579392325,-77.024083462759
07/04/2024,Fireworks on the Mall,Reflecting Pool,2 Lincoln Memorial Cir NW,38.88938663888819,-77.04527923037222
07/09/2024,Swing Dancing,The Wharf,760 Maine Ave SW,38.87932579392325,-77.024083462759
07/11/2024,Library of Congress Movie Night,Library of Congress,101 Independence Ave SE,38.888653139255254,-77.00474640106664
07/12/2024,Rugby: Scotland vs USA,Audi Field,100 Potomac Ave SW,38.86889782787907,-77.01281871412256
07/12/2024,Romanian Festival,The Wharf,760 Maine Ave SW,38.87932579392325,-77.024083462759
07/13/2024,DC Bike Party,Dupont Circle,Dupont Circle,38.9095343131689,-77.0433165368593
07/14/2024,Dancing at the Monuments,Lincoln Memorial,2 Lincoln Memorial Cir NW,38.88938663888819,-77.04527923037222
07/18/2024,Phillips Collection At Nite,Phillips Collection,1600 21st Street NW,38.911752254488405,-77.04683808055854
07/18/2024,Botanic Gardens at Nite,Botanic Gardens,100 Maryland Ave SW,38.88802409766486,-77.01294674661047
07/18/2024,Portrait Gallery Jazz,National Portrait Gallery,8th St NW & G St NW,38.8979045003399,-77.02291905922135
07/19/2024,Water Lily Festival,Kenilworth Aquatic Gardens,1550 Anacostia Ave NE,38.91227038152337,-76.9407408905249
07/19/2024,Nats CRJ Concert,Nationals Park,1500 South Capitol St SE,38.87262613091461,-77.00742052712249
07/20/2024,Olivia Rodrigo,Capital One Arena,601 F St NW,38.89811555269163,-77.02112178400269
07/25/2024,Outdoor Movie Love and Basketball,Library of Congress,101 Independence Ave SE,38.888653139255254,-77.00474640106664
07/26/2024,French Embassy Olympics Party,French Embassy,4101 Reservoir Rd NW,38.91357534529649,-77.07814300852164
07/26/2024,Luke Combs,Commanders Field,1600 Fedex Way Greater Landover,38.90790693344203,-76.86421371372123
07/26/2024,Outdoor Movie School of Rock,The Reach,2700 F St NW,38.89420139991246,-77.05538384284124
07/27/2024,Broccoli City Festival,Audi Field,100 Potomac Ave SW,38.86889782787907,-77.01281871412256
